year,year_rank,group_name,artist,song_name,id
1960,23,Paul Anka,Paul Anka,Puppy Love,429
1960,45,Johnny Preston,Johnny Preston,Cradle Of Love,452
1960,48,Ron Holden,Ron Holden,Love You So,455
1960,65,Marv Johnson,Marv Johnson,I Love The Way You Love,472
1960,67,Ray Peterson,Ray Peterson,Tell Laura I Love Her,474
1960,91,Everly Brothers,Everly Brothers,When Will I Be Loved,499
1961,14,Shirelles,Shirelles,Dedicated To The One I Love,522
1961,16,Shirelles,Shirelles,Will You Love Me Tomorrow,524
1961,30,Steve Lawrence,Steve Lawrence,Portrait Of My Love,538
1961,52,Paris Sisters,Paris Sisters,I Love How You Love Me,560
1961,85,Paul Anka,,"Tonight My Love, Tonight",593
1962,19,Mary Wells,Mary Wells,The One Who Really Loves You,627
1962,31,Connie Francis,Connie Francis,Don't Break The Heart That Loves You,639
1962,34,Ketty Lester,Ketty Lester,Love Letters,642
1962,41,Clyde Mcphatter,Clyde Mcphatter,"Lover, Please",649
1962,57,Elvis Presley,Elvis Presley,Can't Help Falling In Love,665
1962,67,Dion,Dion,Lovers Who Wander,675
1962,73,Brenda Lee,Brenda Lee,Everybody Loves Me But You,681
1962,76,Paul Anka,Paul Anka,Love Me Warm And Tender,684
1962,96,Eddie Hodges,Eddie Hodges,"(Girls, Girls, Girls) Were Made To Love",704
1963,15,Tymes,Tymes,So Much In Love,723
1963,21,Al Martino,Al Martino,I Love You Because,730
1963,63,Bill Pursell,Bill Pursell,Our Winter Love,772
1964,2,Beatles,Beatles,She Loves You,811
1964,6,Dean Martin,Dean Martin,Everybody Loves Somebody,815
1964,10,Supremes,Supremes,Where Did Our Love Go,819
1964,14,Beatles,Beatles,Love Me Do,823
1964,19,Ray Charles Singers,Ray Charles Singers,Love Me With All Your Heart,828
1964,21,Dixie Cups,Dixie Cups,Chapel Of Love,830
1964,27,Gene Pitney,Gene Pitney,It Hurts To Be In Love,836
1964,30,Peter and Gordon,Peter and Gordon,A World Without Love,839
1964,33,Supremes,Supremes,Baby Love,842
1964,52,Beatles,Beatles,Can't Buy Me Love,863
1964,72,Al Martino,Al Martino,I Love You More And More Every Day,883
1964,81,Jelly Beans,Jelly Beans,I Wanna Love Him So Bad,892
1964,87,Searchers,Searchers,Don't Throw Your Love Away,898
