year,year_rank,group_name,artist,song_name,id
1985,1,Wham!,Wham!,Careless Whisper,2977
1985,2,Madonna,Madonna,Like A Virgin,2978
1985,3,Wham!,Wham!,Wake Me Up Before You Go-Go,2979
1985,4,Foreigner,Foreigner,I Want To Know What Love Is,2980
1985,5,Chaka Khan,Chaka Khan,I Feel For You,2981
1985,6,Daryl Hall and John Oates,Daryl Hall,Out Of Touch,2982
1985,6,Daryl Hall and John Oates,John Oates,Out Of Touch,2983
1985,7,Tears For Fears,Tears For Fears,Everybody Wants To Rule The World,2984
1985,8,Dire Straits,Dire Straits,Money For Nothing,2985
1985,9,Madonna,Madonna,Crazy For You,2986
1985,10,a-ha,a-ha,Take On Me,2987
1985,11,Paul Young,Paul Young,Everytime You Go Away,2988
1985,12,Phil Collins and Philip Bailey,Phil Collins,Easy Lover,2989
1985,12,Phil Collins and Philip Bailey,Philip Bailey,Easy Lover,2990
1985,13,REO Speedwagon,REO Speedwagon,Can't Fight This Feeling,2991
1985,14,Starship,Starship,We Built This City,2992
1985,15,Huey Lewis and The News,Huey Lewis and The News,The Power Of Love,2993
1985,16,Simple Minds,Simple Minds,Don't You (Forget About Me),2994
1985,17,Kool and The Gang,Kool and The Gang,Cherish,2995
1985,18,John Parr,John Parr,St. Elmo's Fire (Man In Motion),2996
1985,19,Glenn Frey,Glenn Frey,The Heat Is On,2997
1985,20,U.S.A. For Africa,U.S.A. For Africa,We Are The World,2998
1985,21,Tears For Fears,Tears For Fears,Shout,2999
1985,22,Stevie Wonder,Stevie Wonder,Part-Time Lover,3000
1985,23,Whitney Houston,Whitney Houston,Saving All My Love For You,3001
1985,24,Bryan Adams,,Heaven,3002
1985,25,Wham!,Wham!,Everything She Wants,3003
1985,26,New Edition,New Edition,Cool It Now,3004
1985,27,Jan Hammer,Jan Hammer,Miami Vice Theme,3005
1985,28,Billy Ocean,Billy Ocean,Lover Boy,3006
1985,29,Teena Marie,Teena Marie,Lover Girl,3007
1985,30,Glenn Frey,Glenn Frey,You Belong To The City,3008
1985,31,Ready For The World,Ready For The World,Oh Sheila,3009
1985,32,Debarge,Debarge,Rhythm Of The Night,3010
1985,33,Phil Collins,Phil Collins,One More Night,3011
1985,34,Honeydrippers,Honeydrippers,Sea Of Love,3012
1985,35,Duran Duran,Duran Duran,A View To A Kill,3013
1985,36,Duran Duran,Duran Duran,The Wild Boys,3014
1985,37,Chicago,Chicago,You're The Inspiration,3015
1985,38,Pointer Sisters,Pointer Sisters,Neutron Dance,3016
1985,39,Pat Benatar,Pat Benatar,We Belong,3017
1985,40,Commodores,Commodores,Nightshift,3018
1985,41,Howard Jones,Howard Jones,Things Can Only Get Better,3019
1985,42,Jack Wagner,Jack Wagner,All I Need,3020
1985,43,Aretha Franklin,Aretha Franklin,Freeway Of Love,3021
1985,44,Corey Hart,Corey Hart,Never Surrender,3022
1985,45,Phil Collins,Phil Collins,Sussudio,3023
1985,46,Sheena Easton,Sheena Easton,Strut,3024
1985,47,Whitney Houston,Whitney Houston,You Give Good Love,3025
1985,48,Survivor,Survivor,The Search Is Over,3026
1985,49,Diana Ross,Diana Ross,Missing You,3027
1985,50,Phil Collins and Marilyn Martin,Phil Collins,Separate Lives,3028
1985,50,Phil Collins and Marilyn Martin,Marilyn Martin,Separate Lives,3029
1985,51,Prince and The Revolution,Prince and The Revolution,Raspberry Beret,3030
1985,52,Billy Ocean,Billy Ocean,Suddenly,3031
1985,53,Don Henley,Don Henley,The Boys Of Summer,3032
1985,54,Murray Head,Murray Head,One Night In Bangkok,3033
1985,55,Sting,Sting,If You Love Somebody Set Them Free,3034
1985,56,Animotion,Animotion,Obsession,3035
1985,57,Tina Turner,Tina Turner,We Don't Need Another Hero,3036
1985,58,Madonna,Madonna,Material Girl,3037
1985,59,Tina Turner,Tina Turner,Better Be Good To Me,3038
1985,60,Tears For Fears,Tears For Fears,Head Over Heels,3039
1985,61,Harold Faltermeyer,Harold Faltermeyer,Axel F,3040
1985,62,Sade,Sade,Smooth Operator,3041
1985,63,Mary Jane Girls,Mary Jane Girls,In My House,3042
1985,64,Phil Collins,Phil Collins,Don't Lose My Number,3043
1985,65,Cyndi Lauper,Cyndi Lauper,All Through The Night,3044
1985,66,Bryan Adams,Bryan Adams,Run To You,3045
