year,month,month_name,south,west,midwest,northeast
1968,1,January,35.6,17,22.6,12.9
1968,2,February,31.5,18.6,23.3,9.7
1968,3,March,42.5,17.4,24.4,10.7
1968,4,April,42.9,20.6,27,12
1968,5,May,46.2,20,25.1,20
1968,6,June,37.7,23.2,26.9,16.8
1968,7,July,50.3,21.2,25.7,20.1
1968,8,August,46.6,23.1,33.4,15.3
1968,9,September,48.7,22,37.9,27
1968,10,October,50.2,23,34.2,20.5
1968,11,November,45.7,18.4,35.8,14.4
1968,12,December,49.8,21.6,31.2,19.5
1969,1,January,40.1,19.7,18,11
1969,2,February,34.8,23,23.3,14.9
1969,3,March,53.3,21.1,23.5,17
