year,month,month_name,south,west,midwest,northeast
1977,2,February,45.5,32.2,22.4,9.7
1978,5,May,64.4,41.2,30.9,9.7
1979,4,April,61.3,42.5,25.9,12.1
1980,1,January,54.7,35.4,23.2,11.6
1980,3,March,59.8,35.7,21.9,12.6
1980,5,May,56.7,33.9,19.3,9.9
1981,1,January,44.2,22.1,14.1,7.5
1981,2,February,45.2,25.3,15.1,8.1
1982,1,January,38.1,17.3,9.6,7.5
1982,2,February,33.4,15.1,9.7,4.8
1982,3,March,41.2,17.5,7.9,6.4
1983,3,March,49.4,20,9.7,8.5
1984,1,January,60.4,26.9,11.6,13.1
1984,2,February,59.1,28.2,11.4,10.5
1984,3,March,67.8,28.4,12.5,10.7
1984,4,April,68,31.2,15.4,12.3
1984,5,May,75.5,37.4,18.1,11.7
1984,6,June,84.8,38,18.3,15.5
1984,7,July,77.2,35.9,18.3,14.8
1984,10,October,81.3,39.2,23.2,15.4
1985,2,February,63.9,31.3,14.6,11.1
1985,3,March,60.8,33.1,15.6,15.7
1985,4,April,61,36.8,14.5,14.8
1985,5,May,64.1,36.8,15.6,15.3
1985,7,July,70.3,40.4,17.8,18.6
1985,11,November,64.6,39.5,20.4,18.8
1986,1,January,56.3,34.5,15.9,15.6
1986,2,February,50.9,37.4,14.5,15.2
1986,3,March,60.2,38.8,15.8,18.2
1986,4,April,62.3,33.6,15.3,18
1987,2,February,47.4,35.4,18.2,16.8
1990,1,January,38.2,34.8,20.1,14.2
1990,3,March,47.4,28.4,14.6,11.8
1990,4,April,38.6,31.4,20.5,10.8
1991,2,February,31,21.9,12.9,6.7
1991,3,March,36,25.9,17.2,8.5
1996,2,February,41.9,24.7,15.2,9.2
1996,3,March,49.7,26.8,20,6.6
2002,6,June,64.8,37.4,21.8,14.3
2003,1,January,56.3,29.2,18.4,9.5
2004,3,March,66.1,36.5,24.3,10.1
2004,4,April,70,42.9,28.5,10.6
2004,12,December,82.5,54.2,33.6,13.8
2005,1,January,60.5,37.8,21.7,10.9
2005,3,March,62.5,39.5,23.3,10.4
2005,4,April,71,40.1,27.3,12.3
2005,7,July,74.1,43.3,28.8,12.3
2005,12,December,90.2,48.9,30.6,17.8
2006,2,February,68.5,38,21.3,14
2006,3,March,87.6,42.8,26.1,12.7
2006,5,May,78,41.7,25.5,13.7
2006,6,June,86.5,48.2,29.3,15.5
2007,1,January,67.7,30,17.7,11.9
2007,2,February,62.3,25.2,15.3,9.7
2007,3,March,64.3,31.9,17,9.7
2007,4,April,63.7,28.3,17.7,9.2
2007,5,May,66.1,32.9,19.4,11.2
2007,7,July,67.3,31.5,19.3,11
2007,8,August,70,36.2,16.6,14.1
2007,11,November,56.6,31.3,19.9,10.9
2007,12,December,61.8,32.7,18.4,13.8
2008,1,January,48.4,23.6,12.9,8.7
2008,3,March,47.1,23.1,12.6,7
2008,7,July,45.7,23,11.6,11.1
2008,12,December,49,25.1,12.3,11.4
2009,2,February,26.9,14.8,7.8,6.9
2009,3,March,32.2,16.8,8.3,4.8
2010,1,January,21.2,13.9,5.5,5.8
2010,3,March,26,12.5,5.7,4.4
2013,1,January,24.8,12.5,5.5,4.6
2013,2,February,26.4,12.2,7.1,4.1
2013,3,March,29.2,18.2,7.9,6.5
2013,6,June,34.1,16.1,9.4,6.4
2014,3,March,37.7,15.8,9.8,4.4
2014,4,April,34.2,15,9.2,5.5
