year,month,month_name,south_percentage,west_percentage,midwest_percentage,northeast_percentage
2000,1,January,58.9,58.3770114942529,58.3406130268199,58.091570881226
2000,2,February,61.0,60.4928571428571,60.3857142857143,60.1928571428572
2000,3,March,73.8,73.3795847750865,73.2809688581315,72.9989619377163
2000,4,April,68.4,67.9606326889279,67.8112478031634,67.6126537785589
2000,5,May,73.6,72.6,73.0765625,72.7890625
2000,6,June,71.4,70.8199683042789,70.886529318542,70.6091917591125
2000,7,July,66.7,66.1803921568627,66.0954248366013,65.8977124183006
2000,8,August,80.0,79.5138461538462,79.5138461538462,79.1876923076923
2000,9,September,78.0,77.5153583617747,77.5460750853242,77.2525597269625
2000,10,October,73.1,72.5598765432099,72.5444444444445,72.3083333333333
2000,11,November,73.0,72.4841772151899,72.4762658227848,72.1787974683544
2000,12,December,78.5,78.042042042042,77.9369369369369,77.6846846846847
2001,1,January,56.9,56.4487528344671,56.3739229024943,56.1448979591837
2001,2,February,54.6,54.08,53.9657142857143,53.7752380952381
2001,3,March,59.6,59.1143369175627,58.9637992831541,58.7720430107527
2001,4,April,67.6,67.1664845173042,67.048087431694,66.7985428051002
2001,5,May,66.1,65.6404929577465,65.5119718309859,65.293661971831
2001,6,June,76.7,76.1853372434018,76.1105571847507,75.9140762463343
2001,7,July,73.1,72.5776357827476,72.6031948881789,72.2709265175719
2001,8,August,80.0,79.5381294964029,79.4201438848921,79.1784172661871
2001,9,September,73.4,72.9046296296296,72.8413580246914,72.5712962962963
2001,10,October,80.0,79.537984496124,79.462015503876,79.2248062015504
2001,11,November,81.7,81.3482142857143,81.2642857142857,80.9285714285714
2001,12,December,86.6,86.1110821382008,85.9820078226858,85.8229465449805
2002,1,January,60.0,59.5112781954887,59.3552631578947,59.2424812030075
2002,2,February,62.4,61.9214152700186,61.8469273743017,61.5750465549348
2002,3,March,68.1,67.1,67.55,67.2814814814815
2002,4,April,66.0,65.4446227929374,65.4077046548957,65.1910112359551
2002,5,May,72.7,72.1682422451994,72.1254062038405,71.865435745938
2002,6,June,74.5,74.0771604938272,73.8364197530864,73.7206790123457
2002,7,July,72.5,72.0061349693252,71.9110429447853,71.6794478527607
2002,8,August,90.4,89.9869565217391,89.8840579710145,89.6246376811594
2002,9,September,81.3,80.8453172205438,80.7818731117825,80.4858006042296
2002,10,October,76.9,76.413353115727,76.3376854599407,76.0750741839763
2002,11,November,89.4,89.0688417618271,88.9481239804241,88.6251223491028
2002,12,December,88.3,87.8849315068493,87.7287671232877,87.4821917808219
2003,1,January,58.1,57.6186500888099,57.4268206039076,57.2687388987567
2003,2,February,64.5,64.0747126436782,63.867816091954,63.7739463601533
2003,3,March,68.7,68.2857885615251,68.1384748700173,67.8490467937608
2003,4,April,70.8,70.3259631490787,70.2589614740369,69.9842546063652
2003,5,May,82.8,82.4137479541735,82.2631751227496,82.0618657937807
2003,6,June,80.3,79.8694444444444,79.7413580246914,79.512962962963
