year,month,no_shares
2000,1,417915200
2000,2,254630800
2000,3,304354800
2000,4,302612000
2000,5,342748800
2000,6,283899400
2000,7,199594800
2000,8,195722400
2000,9,281810800
2000,10,764008200
2000,11,295101000
2000,12,303221800
2001,1,477660600
2001,2,242475800
2001,3,373402000
2001,4,386573000
2001,5,258112800
2001,6,265014800
2001,7,298303000
2001,8,176680400
2001,9,190064600
2001,10,261070800
2001,11,182154800
2001,12,158631800
2002,1,295097400
2002,2,272454600
2002,3,183969000
2002,4,222093600
2002,5,207965600
2002,6,297998200
2002,7,275783200
2002,8,178021400
2002,9,182079000
2002,10,227332600
2002,11,157350800
2002,12,154435800
2003,1,216705088
2003,2,147576714
2003,3,142493002
2003,4,278638630
2003,5,382756236
2003,6,218866204
2003,7,186880528
2003,8,154076382
2003,9,191405066
2003,10,251901858
2003,11,177950344
2003,12,195409954
2004,1,283392972
2004,2,175942568
2004,3,415640232
2004,4,319393868
2004,5,189750448
2004,6,295548628
2004,7,347122606
2004,8,286237862
2004,9,274642854
2004,10,576828238
2004,11,623427536
2004,12,572255794
2005,1,924019456
2005,2,767532637
2005,3,526103320
2005,4,695726635
2005,5,461553930
2005,6,392019749
2005,7,365369369
2005,8,337846217
2005,9,441289212
2005,10,667624241
2005,11,481146608
2005,12,466678991
2006,1,782214871
2006,2,670380812
2006,3,828652894
2006,4,718969945
2006,5,557894868
2006,6,641483499
2006,7,624931565
2006,8,639347118
2006,9,633497094
2006,10,514936200
2006,11,494556618
2006,12,604961956
2007,1,974375950
2007,2,491065111
2007,3,569142062
2007,4,482782935
2007,5,621120142
2007,6,832591478
2007,7,863443239
2007,8,870266474
2007,9,747527805
2007,10,831377984
2007,11,935704427
2007,12,616252444
2008,1,1256429970
2008,2,888068738
2008,3,781244334
2008,4,813989425
2008,5,663934299
2008,6,695861344
2008,7,705428270
2008,8,467433439
2008,9,859790619
2008,10,1480322712
2008,11,844056190
2008,12,724471891
2009,1,651184094
2009,2,495312060
2009,3,551121744
2009,4,422280743
2009,5,337837828
2009,6,452732078
2009,7,390842910
2009,8,291665229
2009,9,356825324
2009,10,462747392
2009,11,302036562
2009,12,406964735
2010,1,541777633
2010,2,384903105
2010,3,434136196
2010,4,441688838
2010,5,645861804
2010,6,594765695
2010,7,559681434
2010,8,342496585
2010,9,423320998
2010,10,437364189
2010,11,339649778
2010,12,249148511
2011,1,387252392
2011,2,331996237
2011,3,392629572
2011,4,314095720
2011,5,246858873
2011,6,330946052
2011,7,380519982
2011,8,589538177
2011,9,427834633
2011,10,469372428
2011,11,320251186
2011,12,225334685
2012,1,245046258
2012,2,406097953
2012,3,556588379
2012,4,557109177
2012,5,375783506
2012,6,280631269
2012,7,318226255
2012,8,295610014
2012,9,328544276
2012,10,433681379
2012,11,461808146
2012,12,433423671
2013,1,453803209
2013,2,333726386
2013,3,327768955
2013,4,391608033
2013,5,337452389
2013,6,250398815
2013,7,233592849
2013,8,278061607
2013,9,307765860
2013,10,278244487
2013,11,186640992
2013,12,252080159
2014,1,298125758
