year,month,lowest,highest
2000,1,21.62,28.88
2000,2,24.25,29.44
2000,3,28.5,35.61
2000,4,26.22,33.88
2000,5,20.44,31.22
2000,6,20.09,27.88
2000,7,23.44,29.25
2000,8,22.12,29.5
2000,9,12.69,31.33
2000,10,8.22,13.34
2000,11,8.06,11.5
2000,12,6.81,8.59
2001,1,7.22,10.78
2001,2,9.0,10.56
2001,3,8.59,11.57
2001,4,9.38,13.33
2001,5,9.65,13.17
2001,6,9.68,11.92
2001,7,8.93,12.44
2001,8,8.64,9.95
2001,9,7.34,9.25
2001,10,7.42,9.56
2001,11,8.62,10.6
2001,12,10.04,11.74
2002,1,10.13,12.08
2002,2,10.47,12.8
2002,3,10.91,12.48
2002,4,11.5,12.96
2002,5,11.07,12.74
2002,6,7.99,11.7
2002,7,6.9,9.28
2002,8,6.98,8.1
2002,9,7.02,7.55
2002,10,6.68,7.98
2002,11,7.5,8.54
2002,12,6.89,7.95
2003,1,6.78,7.52
2003,2,7.03,7.54
2003,3,7.02,7.54
2003,4,6.36,7.41
2003,5,7.0,9.42
2003,6,8.32,9.76
2003,7,9.26,10.75
2003,8,9.71,11.1
2003,9,10.07,11.58
2003,10,10.1,12.44
2003,11,9.92,11.6
2003,12,9.62,10.81
2004,1,10.59,12.35
2004,2,10.85,11.92
2004,3,11.8,13.95
2004,4,12.74,14.54
2004,5,12.75,14.24
2004,6,13.8,16.95
2004,7,14.37,16.46
2004,8,14.85,17.3
2004,9,17.1,19.5
2004,10,18.82,25.98
2004,11,26.02,34.5
2004,12,30.8,33.9
2005,1,31.3,37.29
2005,2,38.29,45.32
2005,3,38.83,44.99
2005,4,34.0,44.15
2005,5,33.11,40.66
2005,6,35.52,40.05
2005,7,36.29,44.01
2005,8,42.02,47.39
2005,9,46.09,54.03
2005,10,47.87,56.99
2005,11,56.87,70.72
2005,12,68.81,74.87
2006,1,70.87,85.7
2006,2,62.9,75.1
2006,3,57.67,69.4
2006,4,61.05,70.93
2006,5,58.69,72.99
2006,6,55.41,62.43
2006,7,50.16,66.83
2006,8,62.58,68.5
2006,9,67.82,77.17
2006,10,72.6,81.9
2006,11,77.79,93.0
2006,12,76.77,91.88
2007,1,81.9,97.56
2007,2,82.86,90.8
2007,3,83.75,95.71
2007,4,89.6,101.58
2007,5,98.55,120.07
2007,6,115.4,126.0
2007,7,119.3,146.19
2007,8,111.62,139.49
2007,9,130.0,154.47
2007,10,152.93,188.56
2007,11,150.63,190.61
2007,12,176.99,200.59
2008,1,126.14,199.27
2008,2,115.44,136.24
2008,3,118.0,144.95
2008,4,143.61,176.19
2008,5,172.0,191.23
2008,6,164.15,188.6
2008,7,146.53,180.2
2008,8,152.91,179.04
2008,9,100.59,172.4
2008,10,85.0,116.26
2008,11,79.14,109.99
2008,12,84.55,98.09
2009,1,78.2,95.95
2009,2,86.51,101.33
2009,3,82.33,108.23
2009,4,103.89,126.62
2009,5,119.38,135.39
2009,6,132.88,145.31
2009,7,134.42,162.99
2009,8,159.42,172.27
2009,9,164.11,187.2
2009,10,180.7,205.7
2009,11,185.57,206.54
2009,12,188.68,213.13
2010,1,190.25,214.91
2010,2,190.85,204.19
2010,3,205.45,236.6
2010,4,232.75,271.88
2010,5,199.25,263.84
2010,6,242.2,277.69
2010,7,239.6,265.09
2010,8,235.56,262.84
2010,9,246.28,293.98
2010,10,277.77,318.47
2010,11,297.76,321.05
2010,12,314.89,326.22
2011,1,324.84,348.35
2011,2,337.72,360.8
2011,3,326.26,361.4
2011,4,320.16,355.0
2011,5,329.42,349.74
2011,6,310.5,348.87
2011,7,334.2,400.59
2011,8,353.02,397.78
2011,9,366.48,419.64
2011,10,354.24,421.76
2011,11,363.32,402.21
2011,12,377.68,406.89
2012,1,409.0,455.59
2012,2,453.98,541.56
2012,3,516.22,618.38
2012,4,555.0,639.93
2012,5,522.18,590.5
2012,6,548.5,588.21
2012,7,570.0,617.97
2012,8,600.25,679.99
2012,9,656.0,702.41
2012,10,587.7,671.25
2012,11,505.75,598.22
2012,12,501.23,593.65
2013,1,435.0,553.82
2013,2,437.66,479.51
2013,3,419.0,465.44
2013,4,385.1,441.9
2013,5,418.9,464.97
2013,6,388.87,453.22
2013,7,401.22,454.99
2013,8,453.26,509.71
2013,9,447.22,506.2
2013,10,478.28,536.27
2013,11,512.38,549.48
2013,12,538.8,572.65
2014,1,496.7,555.68
